Invoice,TransactionCopies,SourceSheetCount,UniqueFingerprints,MinimumLineCount,MaximumLineCount,TotalLinesAcrossCopies,MinimumUniqueItemCount,MaximumUniqueItemCount,EarliestTimestamp,LatestTimestamp,MatchingLineCopies,ExactSameTransaction
536863,2,2,1,42,42,84,41,41,2010-12-03 11:19:00,2010-12-03 11:19:00,42,True
536864,2,2,1,46,46,92,46,46,2010-12-03 11:27:00,2010-12-03 11:27:00,46,True
536865,2,2,1,138,138,276,138,138,2010-12-03 11:28:00,2010-12-03 11:28:00,138,True
536866,2,2,1,1,1,2,1,1,2010-12-03 11:28:00,2010-12-03 11:28:00,1,True
536874,2,2,1,63,63,126,63,63,2010-12-03 11:35:00,2010-12-03 11:35:00,63,True
536876,2,2,1,592,592,1184,585,585,2010-12-03 11:36:00,2010-12-03 11:36:00,592,True
536883,2,2,1,1,1,2,1,1,2010-12-03 11:41:00,2010-12-03 11:41:00,1,True
536884,2,2,1,3,3,6,3,3,2010-12-03 11:42:00,2010-12-03 11:42:00,3,True
536885,2,2,1,11,11,22,11,11,2010-12-03 11:42:00,2010-12-03 11:42:00,11,True
536890,2,2,1,3,3,6,3,3,2010-12-03 11:48:00,2010-12-03 11:48:00,3,True
536920,2,2,1,10,10,20,10,10,2010-12-03 12:01:00,2010-12-03 12:01:00,10,True
536938,2,2,1,14,14,28,14,14,2010-12-03 12:05:00,2010-12-03 12:05:00,14,True
536943,2,2,1,28,28,56,28,28,2010-12-03 12:11:00,2010-12-03 12:11:00,28,True
536944,2,2,1,5,5,10,5,5,2010-12-03 12:20:00,2010-12-03 12:20:00,5,True
536945,2,2,1,62,62,124,62,62,2010-12-03 12:24:00,2010-12-03 12:24:00,62,True
536946,2,2,1,29,29,58,29,29,2010-12-03 12:28:00,2010-12-03 12:28:00,29,True
536947,2,2,1,38,38,76,38,38,2010-12-03 12:29:00,2010-12-03 12:29:00,38,True
536954,2,2,1,1,1,2,1,1,2010-12-03 12:41:00,2010-12-03 12:41:00,1,True
536956,2,2,1,15,15,30,15,15,2010-12-03 12:43:00,2010-12-03 12:43:00,15,True
536957,2,2,1,13,13,26,13,13,2010-12-03 12:43:00,2010-12-03 12:43:00,13,True
536960,2,2,1,14,14,28,14,14,2010-12-03 12:48:00,2010-12-03 12:48:00,14,True
536967,2,2,1,1,1,2,1,1,2010-12-03 12:57:00,2010-12-03 12:57:00,1,True
536968,2,2,1,2,2,4,2,2,2010-12-03 13:09:00,2010-12-03 13:09:00,2,True
536969,2,2,1,1,1,2,1,1,2010-12-03 13:10:00,2010-12-03 13:10:00,1,True
536970,2,2,1,1,1,2,1,1,2010-12-03 13:12:00,2010-12-03 13:12:00,1,True
536971,2,2,1,8,8,16,8,8,2010-12-03 13:40:00,2010-12-03 13:40:00,8,True
536972,2,2,1,14,14,28,14,14,2010-12-03 13:42:00,2010-12-03 13:42:00,14,True
536973,2,2,1,31,31,62,30,30,2010-12-03 13:43:00,2010-12-03 13:43:00,31,True
536974,2,2,1,15,15,30,15,15,2010-12-03 13:59:00,2010-12-03 13:59:00,15,True
536975,2,2,1,71,71,142,71,71,2010-12-03 14:04:00,2010-12-03 14:04:00,71,True
536976,2,2,1,19,19,38,19,19,2010-12-03 14:18:00,2010-12-03 14:18:00,19,True
536977,2,2,1,14,14,28,14,14,2010-12-03 14:18:00,2010-12-03 14:18:00,14,True
536980,2,2,1,12,12,24,12,12,2010-12-03 14:26:00,2010-12-03 14:26:00,12,True
536981,2,2,1,22,22,44,21,21,2010-12-03 14:26:00,2010-12-03 14:26:00,22,True
536982,2,2,1,145,145,290,145,145,2010-12-03 14:27:00,2010-12-03 14:27:00,145,True
536983,2,2,1,8,8,16,8,8,2010-12-03 14:30:00,2010-12-03 14:30:00,8,True
536984,2,2,1,29,29,58,29,29,2010-12-03 14:35:00,2010-12-03 14:35:00,29,True
536985,2,2,1,11,11,22,11,11,2010-12-03 14:40:00,2010-12-03 14:40:00,11,True
536986,2,2,1,7,7,14,7,7,2010-12-03 14:40:00,2010-12-03 14:40:00,7,True
536987,2,2,1,53,53,106,52,52,2010-12-03 14:54:00,2010-12-03 14:54:00,53,True
536988,2,2,1,38,38,76,38,38,2010-12-03 15:05:00,2010-12-03 15:05:00,38,True
536989,2,2,1,22,22,44,22,22,2010-12-03 15:10:00,2010-12-03 15:10:00,22,True
536990,2,2,1,6,6,12,6,6,2010-12-03 15:14:00,2010-12-03 15:14:00,6,True
536991,2,2,1,8,8,16,8,8,2010-12-03 15:16:00,2010-12-03 15:16:00,8,True
536992,2,2,1,1,1,2,1,1,2010-12-03 15:16:00,2010-12-03 15:16:00,1,True
536993,2,2,1,34,34,68,34,34,2010-12-03 15:19:00,2010-12-03 15:19:00,34,True
536994,2,2,1,3,3,6,3,3,2010-12-03 15:25:00,2010-12-03 15:25:00,3,True
537022,2,2,1,23,23,46,23,23,2010-12-03 15:45:00,2010-12-03 15:45:00,23,True
537023,2,2,1,25,25,50,25,25,2010-12-03 16:02:00,2010-12-03 16:02:00,25,True
537025,2,2,1,15,15,30,15,15,2010-12-03 16:21:00,2010-12-03 16:21:00,15,True
537026,2,2,1,11,11,22,11,11,2010-12-03 16:35:00,2010-12-03 16:35:00,11,True
537030,2,2,1,13,13,26,13,13,2010-12-03 16:44:00,2010-12-03 16:44:00,13,True
537031,2,2,1,6,6,12,6,6,2010-12-03 16:45:00,2010-12-03 16:45:00,6,True
537034,2,2,1,73,73,146,73,73,2010-12-03 17:20:00,2010-12-03 17:20:00,73,True
537035,2,2,1,1,1,2,1,1,2010-12-03 17:21:00,2010-12-03 17:21:00,1,True
537036,2,2,1,31,31,62,31,31,2010-12-03 17:28:00,2010-12-03 17:28:00,31,True
537037,2,2,1,11,11,22,11,11,2010-12-05 10:03:00,2010-12-05 10:03:00,11,True
537038,2,2,1,7,7,14,7,7,2010-12-05 10:12:00,2010-12-05 10:12:00,7,True
537040,2,2,1,2,2,4,2,2,2010-12-05 10:27:00,2010-12-05 10:27:00,2,True
537041,2,2,1,26,26,52,26,26,2010-12-05 10:36:00,2010-12-05 10:36:00,26,True
537042,2,2,1,49,49,98,48,48,2010-12-05 10:45:00,2010-12-05 10:45:00,49,True
537044,2,2,1,19,19,38,19,19,2010-12-05 10:52:00,2010-12-05 10:52:00,19,True
537045,2,2,1,32,32,64,30,30,2010-12-05 10:54:00,2010-12-05 10:54:00,32,True
537046,2,2,1,14,14,28,14,14,2010-12-05 10:58:00,2010-12-05 10:58:00,14,True
537047,2,2,1,41,41,82,41,41,2010-12-05 11:02:00,2010-12-05 11:02:00,41,True
537048,2,2,1,2,2,4,2,2,2010-12-05 11:03:00,2010-12-05 11:03:00,2,True
537049,2,2,1,14,14,28,14,14,2010-12-05 11:04:00,2010-12-05 11:04:00,14,True
537050,2,2,1,51,51,102,51,51,2010-12-05 11:10:00,2010-12-05 11:10:00,51,True
537051,2,2,1,37,37,74,31,31,2010-12-05 11:12:00,2010-12-05 11:12:00,37,True
537052,2,2,1,5,5,10,5,5,2010-12-05 11:15:00,2010-12-05 11:15:00,5,True
537053,2,2,1,3,3,6,3,3,2010-12-05 11:38:00,2010-12-05 11:38:00,3,True
537054,2,2,1,41,41,82,40,40,2010-12-05 11:40:00,2010-12-05 11:40:00,41,True
537055,2,2,1,15,15,30,15,15,2010-12-05 11:45:00,2010-12-05 11:45:00,15,True
537057,2,2,1,51,51,102,49,49,2010-12-05 11:49:00,2010-12-05 11:49:00,51,True
537058,2,2,1,12,12,24,12,12,2010-12-05 11:51:00,2010-12-05 11:51:00,12,True
537059,2,2,1,23,23,46,20,20,2010-12-05 11:54:00,2010-12-05 11:54:00,23,True
537065,2,2,1,62,62,124,62,62,2010-12-05 11:57:00,2010-12-05 11:57:00,62,True
537067,2,2,1,6,6,12,6,6,2010-12-05 11:57:00,2010-12-05 11:57:00,6,True
537077,2,2,1,25,25,50,25,25,2010-12-05 11:59:00,2010-12-05 11:59:00,25,True
537081,2,2,1,25,25,50,25,25,2010-12-05 12:00:00,2010-12-05 12:00:00,25,True
537086,2,2,1,8,8,16,8,8,2010-12-05 12:01:00,2010-12-05 12:01:00,8,True
537090,2,2,1,1,1,2,1,1,2010-12-05 12:02:00,2010-12-05 12:02:00,1,True
537111,2,2,1,22,22,44,22,22,2010-12-05 12:08:00,2010-12-05 12:08:00,22,True
537117,2,2,1,1,1,2,1,1,2010-12-05 12:09:00,2010-12-05 12:09:00,1,True
537126,2,2,1,117,117,234,116,116,2010-12-05 12:13:00,2010-12-05 12:13:00,117,True
537127,2,2,1,2,2,4,2,2,2010-12-05 12:13:00,2010-12-05 12:13:00,2,True
537128,2,2,1,23,23,46,23,23,2010-12-05 12:15:00,2010-12-05 12:15:00,23,True
537129,2,2,1,17,17,34,17,17,2010-12-05 12:15:00,2010-12-05 12:15:00,17,True
537130,2,2,1,19,19,38,19,19,2010-12-05 12:23:00,2010-12-05 12:23:00,19,True
537131,2,2,1,37,37,74,35,35,2010-12-05 12:26:00,2010-12-05 12:26:00,37,True
537133,2,2,1,50,50,100,50,50,2010-12-05 12:29:00,2010-12-05 12:29:00,50,True
537134,2,2,1,9,9,18,9,9,2010-12-05 12:34:00,2010-12-05 12:34:00,9,True
537135,2,2,1,117,117,234,115,115,2010-12-05 12:35:00,2010-12-05 12:35:00,117,True
537136,2,2,1,34,34,68,34,34,2010-12-05 12:42:00,2010-12-05 12:42:00,34,True
537137,2,2,1,65,65,130,65,65,2010-12-05 12:43:00,2010-12-05 12:43:00,65,True
537138,2,2,1,33,33,66,33,33,2010-12-05 12:44:00,2010-12-05 12:44:00,33,True
537139,2,2,1,3,3,6,3,3,2010-12-05 12:47:00,2010-12-05 12:47:00,3,True
537140,2,2,1,34,34,68,32,32,2010-12-05 12:53:00,2010-12-05 12:53:00,34,True
537141,2,2,1,44,44,88,37,37,2010-12-05 12:57:00,2010-12-05 12:57:00,44,True
537142,2,2,1,15,15,30,15,15,2010-12-05 12:57:00,2010-12-05 12:57:00,15,True
537144,2,2,1,96,96,192,95,95,2010-12-05 13:00:00,2010-12-05 13:00:00,96,True
537153,2,2,1,44,44,88,41,41,2010-12-05 13:03:00,2010-12-05 13:03:00,44,True
537154,2,2,1,55,55,110,54,54,2010-12-05 13:05:00,2010-12-05 13:05:00,55,True
537155,2,2,1,30,30,60,30,30,2010-12-05 13:05:00,2010-12-05 13:05:00,30,True
537156,2,2,1,17,17,34,17,17,2010-12-05 13:08:00,2010-12-05 13:08:00,17,True
537158,2,2,1,10,10,20,10,10,2010-12-05 13:10:00,2010-12-05 13:10:00,10,True
537159,2,2,1,28,28,56,28,28,2010-12-05 13:17:00,2010-12-05 13:17:00,28,True
537160,2,2,1,26,26,52,26,26,2010-12-05 13:18:00,2010-12-05 13:18:00,26,True
537163,2,2,1,21,21,42,21,21,2010-12-05 13:21:00,2010-12-05 13:21:00,21,True
537176,2,2,1,20,20,40,19,19,2010-12-05 13:26:00,2010-12-05 13:26:00,20,True
537179,2,2,1,13,13,26,13,13,2010-12-05 13:29:00,2010-12-05 13:29:00,13,True
537192,2,2,1,54,54,108,53,53,2010-12-05 13:42:00,2010-12-05 13:42:00,54,True
537193,2,2,1,34,34,68,32,32,2010-12-05 13:49:00,2010-12-05 13:49:00,34,True
537194,2,2,1,1,1,2,1,1,2010-12-05 13:53:00,2010-12-05 13:53:00,1,True
537195,2,2,1,32,32,64,32,32,2010-12-05 13:55:00,2010-12-05 13:55:00,32,True
537196,2,2,1,76,76,152,74,74,2010-12-05 13:55:00,2010-12-05 13:55:00,76,True
537197,2,2,1,15,15,30,15,15,2010-12-05 14:02:00,2010-12-05 14:02:00,15,True
537198,2,2,1,1,1,2,1,1,2010-12-05 14:03:00,2010-12-05 14:03:00,1,True
537199,2,2,1,33,33,66,31,31,2010-12-05 14:06:00,2010-12-05 14:06:00,33,True
537200,2,2,1,28,28,56,28,28,2010-12-05 14:17:00,2010-12-05 14:17:00,28,True
537201,2,2,1,69,69,138,69,69,2010-12-05 14:19:00,2010-12-05 14:19:00,69,True
537202,2,2,1,45,45,90,43,43,2010-12-05 14:25:00,2010-12-05 14:25:00,45,True
537204,2,2,1,32,32,64,32,32,2010-12-05 14:45:00,2010-12-05 14:45:00,32,True
537205,2,2,1,11,11,22,11,11,2010-12-05 14:52:00,2010-12-05 14:52:00,11,True
537206,2,2,1,4,4,8,4,4,2010-12-05 15:02:00,2010-12-05 15:02:00,4,True
537207,2,2,1,23,23,46,23,23,2010-12-05 15:06:00,2010-12-05 15:06:00,23,True
537208,2,2,1,58,58,116,56,56,2010-12-05 15:12:00,2010-12-05 15:12:00,58,True
537209,2,2,1,42,42,84,41,41,2010-12-05 15:12:00,2010-12-05 15:12:00,42,True
537210,2,2,1,15,15,30,15,15,2010-12-05 15:15:00,2010-12-05 15:15:00,15,True
537211,2,2,1,16,16,32,16,16,2010-12-05 15:18:00,2010-12-05 15:18:00,16,True
537212,2,2,1,29,29,58,29,29,2010-12-05 15:21:00,2010-12-05 15:21:00,29,True
537213,2,2,1,6,6,12,6,6,2010-12-05 15:26:00,2010-12-05 15:26:00,6,True
537214,2,2,1,13,13,26,13,13,2010-12-05 15:35:00,2010-12-05 15:35:00,13,True
537215,2,2,1,7,7,14,7,7,2010-12-05 15:38:00,2010-12-05 15:38:00,7,True
537216,2,2,1,18,18,36,18,18,2010-12-05 15:40:00,2010-12-05 15:40:00,18,True
537217,2,2,1,4,4,8,4,4,2010-12-05 15:40:00,2010-12-05 15:40:00,4,True
537218,2,2,1,16,16,32,16,16,2010-12-05 15:46:00,2010-12-05 15:46:00,16,True
537219,2,2,1,69,69,138,67,67,2010-12-05 15:47:00,2010-12-05 15:47:00,69,True
537220,2,2,1,1,1,2,1,1,2010-12-05 15:49:00,2010-12-05 15:49:00,1,True
537221,2,2,1,7,7,14,7,7,2010-12-05 15:54:00,2010-12-05 15:54:00,7,True
537222,2,2,1,25,25,50,25,25,2010-12-05 16:00:00,2010-12-05 16:00:00,25,True
537223,2,2,1,9,9,18,9,9,2010-12-05 16:10:00,2010-12-05 16:10:00,9,True
537224,2,2,1,152,152,304,122,122,2010-12-05 16:24:00,2010-12-05 16:24:00,152,True
537225,2,2,1,62,62,124,59,59,2010-12-05 16:41:00,2010-12-05 16:41:00,62,True
537226,2,2,1,9,9,18,9,9,2010-12-06 08:34:00,2010-12-06 08:34:00,9,True
537227,2,2,1,20,20,40,20,20,2010-12-06 08:42:00,2010-12-06 08:42:00,20,True
537228,2,2,1,1,1,2,1,1,2010-12-06 08:43:00,2010-12-06 08:43:00,1,True
537229,2,2,1,1,1,2,1,1,2010-12-06 08:44:00,2010-12-06 08:44:00,1,True
537230,2,2,1,1,1,2,1,1,2010-12-06 09:20:00,2010-12-06 09:20:00,1,True
537231,2,2,1,18,18,36,18,18,2010-12-06 09:21:00,2010-12-06 09:21:00,18,True
537233,2,2,1,9,9,18,9,9,2010-12-06 09:37:00,2010-12-06 09:37:00,9,True
537235,2,2,1,5,5,10,5,5,2010-12-06 09:45:00,2010-12-06 09:45:00,5,True
537236,2,2,1,10,10,20,9,9,2010-12-06 09:52:00,2010-12-06 09:52:00,10,True
537237,2,2,1,596,596,1192,594,594,2010-12-06 09:58:00,2010-12-06 09:58:00,596,True
537238,2,2,1,15,15,30,15,15,2010-12-06 10:03:00,2010-12-06 10:03:00,15,True
537239,2,2,1,13,13,26,13,13,2010-12-06 10:05:00,2010-12-06 10:05:00,13,True
537240,2,2,1,567,567,1134,567,567,2010-12-06 10:08:00,2010-12-06 10:08:00,567,True
537241,2,2,1,15,15,30,15,15,2010-12-06 10:18:00,2010-12-06 10:18:00,15,True
537242,2,2,1,29,29,58,29,29,2010-12-06 10:19:00,2010-12-06 10:19:00,29,True
537243,2,2,1,2,2,4,2,2,2010-12-06 10:19:00,2010-12-06 10:19:00,2,True
537244,2,2,1,11,11,22,11,11,2010-12-06 10:20:00,2010-12-06 10:20:00,11,True
537245,2,2,1,3,3,6,3,3,2010-12-06 10:24:00,2010-12-06 10:24:00,3,True
537246,2,2,1,6,6,12,6,6,2010-12-06 10:27:00,2010-12-06 10:27:00,6,True
537247,2,2,1,3,3,6,3,3,2010-12-06 10:34:00,2010-12-06 10:34:00,3,True
537248,2,2,1,4,4,8,4,4,2010-12-06 10:36:00,2010-12-06 10:36:00,4,True
537249,2,2,1,1,1,2,1,1,2010-12-06 10:38:00,2010-12-06 10:38:00,1,True
537250,2,2,1,13,13,26,13,13,2010-12-06 10:43:00,2010-12-06 10:43:00,13,True
537252,2,2,1,1,1,2,1,1,2010-12-06 10:46:00,2010-12-06 10:46:00,1,True
537253,2,2,1,24,24,48,23,23,2010-12-06 10:53:00,2010-12-06 10:53:00,24,True
537254,2,2,1,57,57,114,55,55,2010-12-06 11:01:00,2010-12-06 11:01:00,57,True
537255,2,2,1,20,20,40,20,20,2010-12-06 11:03:00,2010-12-06 11:03:00,20,True
537256,2,2,1,11,11,22,11,11,2010-12-06 11:06:00,2010-12-06 11:06:00,11,True
537257,2,2,1,9,9,18,9,9,2010-12-06 11:10:00,2010-12-06 11:10:00,9,True
537258,2,2,1,10,10,20,10,10,2010-12-06 11:16:00,2010-12-06 11:16:00,10,True
537262,2,2,1,54,54,108,54,54,2010-12-06 11:26:00,2010-12-06 11:26:00,54,True
537265,2,2,1,39,39,78,38,38,2010-12-06 11:26:00,2010-12-06 11:26:00,39,True
537298,2,2,1,9,9,18,9,9,2010-12-06 11:37:00,2010-12-06 11:37:00,9,True
537301,2,2,1,15,15,30,14,14,2010-12-06 11:38:00,2010-12-06 11:38:00,15,True
537312,2,2,1,9,9,18,9,9,2010-12-06 11:42:00,2010-12-06 11:42:00,9,True
537313,2,2,1,5,5,10,5,5,2010-12-06 11:42:00,2010-12-06 11:42:00,5,True
537332,2,2,1,12,12,24,12,12,2010-12-06 11:58:00,2010-12-06 11:58:00,12,True
537334,2,2,1,44,44,88,44,44,2010-12-06 12:06:00,2010-12-06 12:06:00,44,True
537335,2,2,1,23,23,46,23,23,2010-12-06 12:15:00,2010-12-06 12:15:00,23,True
537346,2,2,1,34,34,68,34,34,2010-12-06 12:21:00,2010-12-06 12:21:00,34,True
537350,2,2,1,12,12,24,12,12,2010-12-06 12:23:00,2010-12-06 12:23:00,12,True
537351,2,2,1,29,29,58,29,29,2010-12-06 12:23:00,2010-12-06 12:23:00,29,True
537354,2,2,1,38,38,76,38,38,2010-12-06 12:23:00,2010-12-06 12:23:00,38,True
537359,2,2,1,10,10,20,10,10,2010-12-06 12:30:00,2010-12-06 12:30:00,10,True
537360,2,2,1,1,1,2,1,1,2010-12-06 12:31:00,2010-12-06 12:31:00,1,True
537362,2,2,1,59,59,118,56,56,2010-12-06 12:34:00,2010-12-06 12:34:00,59,True
537365,2,2,1,21,21,42,21,21,2010-12-06 12:38:00,2010-12-06 12:38:00,21,True
537366,2,2,1,12,12,24,12,12,2010-12-06 12:39:00,2010-12-06 12:39:00,12,True
537367,2,2,1,1,1,2,1,1,2010-12-06 12:39:00,2010-12-06 12:39:00,1,True
537368,2,2,1,14,14,28,14,14,2010-12-06 12:40:00,2010-12-06 12:40:00,14,True
537369,2,2,1,52,52,104,49,49,2010-12-06 12:41:00,2010-12-06 12:41:00,52,True
537370,2,2,1,52,52,104,51,51,2010-12-06 12:44:00,2010-12-06 12:44:00,52,True
537371,2,2,1,14,14,28,14,14,2010-12-06 12:47:00,2010-12-06 12:47:00,14,True
537372,2,2,1,22,22,44,22,22,2010-12-06 12:52:00,2010-12-06 12:52:00,22,True
537374,2,2,1,82,82,164,74,74,2010-12-06 12:55:00,2010-12-06 12:55:00,82,True
537375,2,2,1,49,49,98,48,48,2010-12-06 12:55:00,2010-12-06 12:55:00,49,True
537376,2,2,1,16,16,32,16,16,2010-12-06 12:59:00,2010-12-06 12:59:00,16,True
537377,2,2,1,13,13,26,13,13,2010-12-06 13:01:00,2010-12-06 13:01:00,13,True
537378,2,2,1,19,19,38,19,19,2010-12-06 13:06:00,2010-12-06 13:06:00,19,True
537380,2,2,1,2,2,4,2,2,2010-12-06 13:12:00,2010-12-06 13:12:00,2,True
537381,2,2,1,24,24,48,24,24,2010-12-06 13:13:00,2010-12-06 13:13:00,24,True
537382,2,2,1,54,54,108,53,53,2010-12-06 13:13:00,2010-12-06 13:13:00,54,True
537384,2,2,1,5,5,10,5,5,2010-12-06 13:21:00,2010-12-06 13:21:00,5,True
537385,2,2,1,13,13,26,13,13,2010-12-06 13:22:00,2010-12-06 13:22:00,13,True
537386,2,2,1,1,1,2,1,1,2010-12-06 13:32:00,2010-12-06 13:32:00,1,True
537387,2,2,1,14,14,28,14,14,2010-12-06 13:34:00,2010-12-06 13:34:00,14,True
537388,2,2,1,18,18,36,18,18,2010-12-06 13:35:00,2010-12-06 13:35:00,18,True
537389,2,2,1,19,19,38,19,19,2010-12-06 13:41:00,2010-12-06 13:41:00,19,True
537390,2,2,1,8,8,16,8,8,2010-12-06 13:47:00,2010-12-06 13:47:00,8,True
537391,2,2,1,48,48,96,48,48,2010-12-06 13:53:00,2010-12-06 13:53:00,48,True
537392,2,2,1,23,23,46,23,23,2010-12-06 13:58:00,2010-12-06 13:58:00,23,True
537393,2,2,1,34,34,68,34,34,2010-12-06 13:59:00,2010-12-06 13:59:00,34,True
537394,2,2,1,5,5,10,5,5,2010-12-06 14:00:00,2010-12-06 14:00:00,5,True
537395,2,2,1,49,49,98,49,49,2010-12-06 14:05:00,2010-12-06 14:05:00,49,True
537396,2,2,1,29,29,58,28,28,2010-12-06 14:08:00,2010-12-06 14:08:00,29,True
537397,2,2,1,10,10,20,10,10,2010-12-06 14:19:00,2010-12-06 14:19:00,10,True
537399,2,2,1,57,57,114,50,50,2010-12-06 14:31:00,2010-12-06 14:31:00,57,True
537400,2,2,1,50,50,100,49,49,2010-12-06 14:36:00,2010-12-06 14:36:00,50,True
537403,2,2,1,11,11,22,11,11,2010-12-06 14:43:00,2010-12-06 14:43:00,11,True
537404,2,2,1,11,11,22,11,11,2010-12-06 14:46:00,2010-12-06 14:46:00,11,True
537405,2,2,1,46,46,92,45,45,2010-12-06 14:51:00,2010-12-06 14:51:00,46,True
537407,2,2,1,6,6,12,6,6,2010-12-06 14:55:00,2010-12-06 14:55:00,6,True
537409,2,2,1,16,16,32,16,16,2010-12-06 15:00:00,2010-12-06 15:00:00,16,True
537410,2,2,1,1,1,2,1,1,2010-12-06 15:03:00,2010-12-06 15:03:00,1,True
537411,2,2,1,3,3,6,3,3,2010-12-06 15:06:00,2010-12-06 15:06:00,3,True
537412,2,2,1,1,1,2,1,1,2010-12-06 15:06:00,2010-12-06 15:06:00,1,True
537415,2,2,1,9,9,18,9,9,2010-12-06 15:09:00,2010-12-06 15:09:00,9,True
537418,2,2,1,35,35,70,33,33,2010-12-06 15:13:00,2010-12-06 15:13:00,35,True
537419,2,2,1,14,14,28,14,14,2010-12-06 15:14:00,2010-12-06 15:14:00,14,True
537420,2,2,1,18,18,36,18,18,2010-12-06 15:18:00,2010-12-06 15:18:00,18,True
537421,2,2,1,49,49,98,48,48,2010-12-06 15:25:00,2010-12-06 15:25:00,49,True
537422,2,2,1,29,29,58,27,27,2010-12-06 15:27:00,2010-12-06 15:27:00,29,True
537423,2,2,1,6,6,12,6,6,2010-12-06 15:34:00,2010-12-06 15:34:00,6,True
537424,2,2,1,3,3,6,3,3,2010-12-06 15:35:00,2010-12-06 15:35:00,3,True
537428,2,2,1,22,22,44,22,22,2010-12-06 15:38:00,2010-12-06 15:38:00,22,True
537429,2,2,1,21,21,42,20,20,2010-12-06 15:54:00,2010-12-06 15:54:00,21,True
537433,2,2,1,4,4,8,4,4,2010-12-06 16:36:00,2010-12-06 16:36:00,4,True
537434,2,2,1,674,674,1348,673,673,2010-12-06 16:57:00,2010-12-06 16:57:00,674,True
537435,2,2,1,13,13,26,13,13,2010-12-06 16:58:00,2010-12-06 16:58:00,13,True
537440,2,2,1,16,16,32,16,16,2010-12-06 17:16:00,2010-12-06 17:16:00,16,True
537441,2,2,1,40,40,80,40,40,2010-12-06 17:26:00,2010-12-06 17:26:00,40,True
537442,2,2,1,2,2,4,2,2,2010-12-06 17:29:00,2010-12-06 17:29:00,2,True
537446,2,2,1,28,28,56,28,28,2010-12-07 09:13:00,2010-12-07 09:13:00,28,True
537447,2,2,1,7,7,14,7,7,2010-12-07 09:21:00,2010-12-07 09:21:00,7,True
537448,2,2,1,1,1,2,1,1,2010-12-07 09:23:00,2010-12-07 09:23:00,1,True
537456,2,2,1,2,2,4,2,2,2010-12-07 09:43:00,2010-12-07 09:43:00,2,True
537457,2,2,1,19,19,38,19,19,2010-12-07 09:51:00,2010-12-07 09:51:00,19,True
537458,2,2,1,13,13,26,13,13,2010-12-07 09:55:00,2010-12-07 09:55:00,13,True
537459,2,2,1,11,11,22,11,11,2010-12-07 09:57:00,2010-12-07 09:57:00,11,True
537460,2,2,1,1,1,2,1,1,2010-12-07 10:04:00,2010-12-07 10:04:00,1,True
537461,2,2,1,1,1,2,1,1,2010-12-07 10:06:00,2010-12-07 10:06:00,1,True
537462,2,2,1,12,12,24,12,12,2010-12-07 10:06:00,2010-12-07 10:06:00,12,True
537463,2,2,1,40,40,80,40,40,2010-12-07 10:08:00,2010-12-07 10:08:00,40,True
537464,2,2,1,28,28,56,28,28,2010-12-07 10:14:00,2010-12-07 10:14:00,28,True
537465,2,2,1,22,22,44,22,22,2010-12-07 10:32:00,2010-12-07 10:32:00,22,True
537467,2,2,1,18,18,36,18,18,2010-12-07 10:36:00,2010-12-07 10:36:00,18,True
537468,2,2,1,19,19,38,19,19,2010-12-07 10:36:00,2010-12-07 10:36:00,19,True
537469,2,2,1,1,1,2,1,1,2010-12-07 10:43:00,2010-12-07 10:43:00,1,True
537470,2,2,1,5,5,10,5,5,2010-12-07 10:47:00,2010-12-07 10:47:00,5,True
537471,2,2,1,1,1,2,1,1,2010-12-07 10:51:00,2010-12-07 10:51:00,1,True
537472,2,2,1,6,6,12,6,6,2010-12-07 11:11:00,2010-12-07 11:11:00,6,True
537476,2,2,1,3,3,6,3,3,2010-12-07 11:26:00,2010-12-07 11:26:00,3,True
537484,2,2,1,28,28,56,28,28,2010-12-07 11:30:00,2010-12-07 11:30:00,28,True
537489,2,2,1,21,21,42,21,21,2010-12-07 11:33:00,2010-12-07 11:33:00,21,True
537509,2,2,1,2,2,4,2,2,2010-12-07 11:41:00,2010-12-07 11:41:00,2,True
537523,2,2,1,9,9,18,9,9,2010-12-07 11:45:00,2010-12-07 11:45:00,9,True
537538,2,2,1,12,12,24,12,12,2010-12-07 11:49:00,2010-12-07 11:49:00,12,True
537567,2,2,1,29,29,58,29,29,2010-12-07 11:59:00,2010-12-07 11:59:00,29,True
537592,2,2,1,5,5,10,5,5,2010-12-07 12:18:00,2010-12-07 12:18:00,5,True
537593,2,2,1,13,13,26,13,13,2010-12-07 12:21:00,2010-12-07 12:21:00,13,True
537594,2,2,1,16,16,32,16,16,2010-12-07 12:28:00,2010-12-07 12:28:00,16,True
537595,2,2,1,23,23,46,23,23,2010-12-07 12:29:00,2010-12-07 12:29:00,23,True
537598,2,2,1,14,14,28,14,14,2010-12-07 12:37:00,2010-12-07 12:37:00,14,True
537599,2,2,1,1,1,2,1,1,2010-12-07 12:37:00,2010-12-07 12:37:00,1,True
537601,2,2,1,9,9,18,9,9,2010-12-07 12:43:00,2010-12-07 12:43:00,9,True
537603,2,2,1,15,15,30,15,15,2010-12-07 12:49:00,2010-12-07 12:49:00,15,True
537604,2,2,1,45,45,90,45,45,2010-12-07 13:01:00,2010-12-07 13:01:00,45,True
537605,2,2,1,12,12,24,12,12,2010-12-07 13:13:00,2010-12-07 13:13:00,12,True
537606,2,2,1,31,31,62,30,30,2010-12-07 13:16:00,2010-12-07 13:16:00,31,True
